time_sec,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24,LDF_bloodflow,segment
0,106.216343,99.234466,127.670161,144.383941,144.636085,138.215192,46.9,baseline
1,115.201621,126.284036,105.733183,142.546656,136.643509,122.191963,11.0,baseline
2,131.606901,145.544502,69.990463,107.731541,146.018707,123.918922,6.0,baseline
3,143.684612,148.772049,56.995597,97.754708,145.002128,136.572402,7.7,baseline
4,151.486964,135.083241,44.845324,125.537177,134.294617,126.50815,8.3,baseline
5,146.892032,126.186524,42.995415,120.135435,146.028617,121.724151,10.7,baseline
6,140.418516,116.521048,38.58958,123.83364,139.202092,122.401363,16.5,baseline
7,133.991858,116.527649,26.887558,131.286741,129.462348,108.377098,23.2,baseline
8,128.865157,110.02141,20.829814,131.487591,117.422893,102.611101,28.6,baseline
9,112.752008,102.117098,23.906136,128.144476,114.578199,112.01274,21.1,baseline
